,-10.0,-9.8,-9.6,-9.4,-9.2,-9.0,-8.8,-8.6,-8.4,-8.2,-8.0,-7.8,-7.6,-7.4,-7.2,-7.0,-6.8,-6.6,-6.4,-6.2,-6.0,-5.8,-5.6,-5.4,-5.2,-5.0,-4.8,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,-3.4,-3.2,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,7.2,7.4,7.6,7.8,8.0,8.2,8.4,8.6,8.8,9.0,9.2,9.4,9.6,9.8,10.0
-8.2,0.17979,0.1798,0.17981,0.17983,0.17985,0.17987,0.1799,0.17994,0.17998,0.18004,0.1801,0.18018,0.18028,0.1804,0.18055,0.18073,0.18094,0.18121,0.18154,0.18194,0.18243,0.18302,0.18376,0.18465,0.18575,0.18709,0.18873,0.19075,0.19322,0.19626,0.19999,0.20459,0.21025,0.21723,0.22583,0.23644,0.24951,0.26557,0.28521,0.309,0.33742,0.37067,0.40837,0.44941,0.49169,0.5324,0.56836,0.59672,0.61543,0.6234,0.62047,0.60724,0.58499,0.5556,0.52141,0.48492,0.44841,0.41373,0.38208,0.35409,0.32989,0.30935,0.29211,0.27777,0.26592,0.25616,0.24814,0.24156,0.23618,0.23177,0.22816,0.22521,0.22279,0.22082,0.2192,0.21788,0.21679,0.21591,0.21518,0.21459,0.2141,0.2137,0.21338,0.21311,0.21289,0.21271,0.21257,0.21245,0.21235,0.21227,0.2122,0.21215,0.21211,0.21207,0.21204,0.21202,0.212,0.21198,0.21197,0.21196,0.21195
-8.0,0.17986,0.17987,0.17988,0.1799,0.17992,0.17994,0.17997,0.18001,0.18005,0.1801,0.18017,0.18025,0.18035,0.18047,0.18062,0.1808,0.18101,0.18128,0.18161,0.18201,0.1825,0.1831,0.18383,0.18472,0.18582,0.18716,0.1888,0.19082,0.1933,0.19633,0.20007,0.20467,0.21033,0.21731,0.22591,0.23652,0.2496,0.26566,0.2853,0.3091,0.33753,0.37077,0.40849,0.44952,0.49181,0.53251,0.56847,0.59683,0.61553,0.62351,0.62058,0.60734,0.58509,0.55571,0.52152,0.48502,0.44852,0.41383,0.38218,0.35418,0.32998,0.30943,0.29219,0.27785,0.266,0.25623,0.24821,0.24164,0.23625,0.23184,0.22823,0.22528,0.22286,0.22088,0.21927,0.21794,0.21686,0.21597,0.21525,0.21465,0.21417,0.21377,0.21344,0.21318,0.21296,0.21278,0.21263,0.21251,0.21242,0.21234,0.21227,0.21222,0.21217,0.21214,0.21211,0.21208,0.21206,0.21205,0.21203,0.21202,0.21201
-7.8,0.17994,0.17995,0.17997,0.17998,0.18,0.18003,0.18006,0.18009,0.18014,0.18019,0.18026,0.18034,0.18043,0.18055,0.1807,0.18088,0.1811,0.18137,0.18169,0.18209,0.18258,0.18318,0.18391,0.18481,0.1859,0.18725,0.18889,0.19091,0.19338,0.19643,0.20016,0.20476,0.21042,0.2174,0.22601,0.23663,0.24971,0.26578,0.28542,0.30922,0.33766,0.37091,0.40862,0.44966,0.49195,0.53265,0.5686,0.59696,0.61566,0.62363,0.6207,0.60747,0.58522,0.55583,0.52165,0.48515,0.44864,0.41395,0.3823,0.35429,0.33009,0.30954,0.29229,0.27795,0.26609,0.25632,0.2483,0.24173,0.23634,0.23193,0.22832,0.22536,0.22294,0.22097,0.21935,0.21802,0.21694,0.21605,0.21533,0.21473,0.21425,0.21385,0.21352,0.21326,0.21304,0.21286,0.21271,0.21259,0.2125,0.21242,0.21235,0.2123,0.21225,0.21222,0.21219,0.21216,0.21214,0.21213,0.21211,0.2121,0.21209
-7.6,0.18005,0.18006,0.18007,0.18009,0.18011,0.18013,0.18016,0.1802,0.18024,0.18029,0.18036,0.18044,0.18054,0.18066,0.1808,0.18098,0.1812,0.18147,0.1818,0.1822,0.18269,0.18329,0.18402,0.18491,0.18601,0.18735,0.189,0.19102,0.19349,0.19654,0.20027,0.20487,0.21054,0.21752,0.22613,0.23675,0.24984,0.26591,0.28556,0.30937,0.33781,0.37107,0.40879,0.44983,0.49212,0.53282,0.56877,0.59712,0.61582,0.62379,0.62086,0.60763,0.58538,0.55599,0.52181,0.48531,0.4488,0.4141,0.38244,0.35443,0.33023,0.30967,0.29242,0.27807,0.26621,0.25644,0.24841,0.24183,0.23644,0.23203,0.22842,0.22546,0.22305,0.22107,0.21945,0.21812,0.21704,0.21615,0.21543,0.21483,0.21435,0.21395,0.21362,0.21336,0.21314,0.21296,0.21281,0.21269,0.21259,0.21251,0.21245,0.21239,0.21235,0.21231,0.21228,0.21226,0.21224,0.21222,0.21221,0.2122,0.21219
-7.4,0.18017,0.18018,0.1802,0.18021,0.18023,0.18026,0.18029,0.18032,0.18037,0.18042,0.18049,0.18057,0.18066,0.18079,0.18093,0.18111,0.18133,0.1816,0.18193,0.18233,0.18282,0.18341,0.18415,0.18504,0.18614,0.18748,0.18913,0.19115,0.19363,0.19667,0.20041,0.20501,0.21068,0.21767,0.22628,0.23691,0.25,0.26608,0.28574,0.30955,0.338,0.37127,0.409,0.45004,0.49234,0.53303,0.56898,0.59732,0.61602,0.62398,0.62105,0.60781,0.58557,0.55618,0.522,0.4855,0.44898,0.41429,0.38262,0.3546,0.33039,0.30982,0.29257,0.27822,0.26635,0.25658,0.24855,0.24197,0.23657,0.23216,0.22855,0.22559,0.22317,0.22119,0.21957,0.21825,0.21716,0.21628,0.21555,0.21495,0.21447,0.21407,0.21374,0.21348,0.21326,0.21308,0.21293,0.21281,0.21271,0.21263,0.21257,0.21251,0.21247,0.21243,0.2124,0.21238,0.21236,0.21234,0.21233,0.21232,0.21231
-7.2,0.18033,0.18034,0.18035,0.18037,0.18039,0.18041,0.18044,0.18048,0.18052,0.18057,0.18064,0.18072,0.18082,0.18094,0.18109,0.18127,0.18149,0.18175,0.18208,0.18248,0.18297,0.18357,0.1843,0.1852,0.1863,0.18764,0.18929,0.19131,0.19379,0.19684,0.20058,0.20519,0.21086,0.21785,0.22647,0.2371,0.25019,0.26628,0.28595,0.30978,0.33824,0.37151,0.40925,0.4503,0.49259,0.53329,0.56923,0.59756,0.61625,0.62421,0.62128,0.60805,0.5858,0.55642,0.52223,0.48573,0.44921,0.41451,0.38283,0.35481,0.33059,0.31001,0.29275,0.27839,0.26652,0.25675,0.24871,0.24213,0.23673,0.23232,0.2287,0.22574,0.22332,0.22134,0.21972,0.2184,0.21731,0.21642,0.2157,0.2151,0.21462,0.21422,0.21389,0.21362,0.2134,0.21323,0.21308,0.21296,0.21286,0.21278,0.21271,0.21266,0.21262,0.21258,0.21255,0.21253,0.21251,0.21249,0.21248,0.21247,0.21246
-7.0,0.18052,0.18053,0.18054,0.18056,0.18058,0.1806,0.18063,0.18067,0.18071,0.18076,0.18083,0.18091,0.18101,0.18113,0.18128,0.18146,0.18168,0.18194,0.18227,0.18267,0.18316,0.18376,0.1845,0.18539,0.18649,0.18784,0.18949,0.19151,0.19399,0.19704,0.20078,0.20539,0.21107,0.21807,0.22669,0.23733,0.25043,0.26653,0.28621,0.31005,0.33852,0.37181,0.40956,0.45061,0.49291,0.5336,0.56953,0.59786,0.61654,0.6245,0.62156,0.60833,0.58608,0.55671,0.52252,0.48601,0.44949,0.41478,0.3831,0.35506,0.33083,0.31025,0.29298,0.27861,0.26673,0.25695,0.24892,0.24233,0.23693,0.23251,0.22889,0.22593,0.22351,0.22153,0.21991,0.21858,0.21749,0.21661,0.21588,0.21528,0.2148,0.2144,0.21407,0.2138,0.21358,0.21341,0.21326,0.21314,0.21304,0.21296,0.21289,0.21284,0.2128,0.21276,0.21273,0.21271,0.21269,0.21267,0.21266,0.21265,0.21264
-6.8,0.18075,0.18076,0.18077,0.18079,0.18081,0.18083,0.18086,0.1809,0.18094,0.181,0.18106,0.18114,0.18124,0.18136,0.18151,0.18169,0.18191,0.18218,0.18251,0.18291,0.1834,0.184,0.18473,0.18563,0.18673,0.18808,0.18973,0.19175,0.19424,0.19729,0.20104,0.20565,0.21133,0.21833,0.22697,0.23761,0.25073,0.26684,0.28653,0.31038,0.33887,0.37217,0.40993,0.45099,0.49329,0.53398,0.5699,0.59822,0.61689,0.62484,0.6219,0.60867,0.58643,0.55706,0.52287,0.48636,0.44983,0.41511,0.38342,0.35537,0.33113,0.31053,0.29325,0.27888,0.26699,0.2572,0.24916,0.24257,0.23716,0.23274,0.22912,0.22616,0.22374,0.22175,0.22013,0.2188,0.21772,0.21683,0.2161,0.2155,0.21502,0.21462,0.21429,0.21402,0.2138,0.21362,0.21348,0.21336,0.21326,0.21318,0.21311,0.21306,0.21301,0.21298,0.21295,0.21292,0.2129,0.21289,0.21287,0.21286,0.21286
-6.6,0.18103,0.18104,0.18105,0.18107,0.18109,0.18111,0.18114,0.18118,0.18122,0.18128,0.18134,0.18143,0.18152,0.18164,0.18179,0.18197,0.18219,0.18246,0.18279,0.18319,0.18368,0.18428,0.18502,0.18592,0.18702,0.18837,0.19002,0.19205,0.19453,0.19759,0.20134,0.20596,0.21165,0.21866,0.2273,0.23796,0.25108,0.26721,0.28692,0.31079,0.33929,0.37261,0.41039,0.45146,0.49376,0.53444,0.57036,0.59867,0.61733,0.62527,0.62232,0.60909,0.58686,0.55748,0.5233,0.48678,0.45025,0.41552,0.38381,0.35575,0.33149,0.31088,0.29359,0.27921,0.26731,0.25751,0.24946,0.24286,0.23745,0.23303,0.2294,0.22644,0.22401,0.22203,0.2204,0.21908,0.21799,0.2171,0.21637,0.21577,0.21528,0.21489,0.21456,0.21429,0.21407,0.21389,0.21375,0.21362,0.21353,0.21345,0.21338,0.21333,0.21328,0.21325,0.21322,0.21319,0.21317,0.21316,0.21314,0.21313,0.21312
-6.4,0.18137,0.18138,0.1814,0.18141,0.18143,0.18146,0.18149,0.18152,0.18157,0.18162,0.18169,0.18177,0.18187,0.18199,0.18214,0.18232,0.18254,0.18281,0.18314,0.18354,0.18403,0.18463,0.18537,0.18627,0.18737,0.18872,0.19038,0.19241,0.1949,0.19796,0.20172,0.20634,0.21204,0.21905,0.22771,0.23838,0.25152,0.26767,0.28739,0.31129,0.33981,0.37315,0.41094,0.45203,0.49433,0.53501,0.57091,0.5992,0.61785,0.62578,0.62284,0.60961,0.58737,0.558,0.52382,0.4873,0.45076,0.41601,0.38429,0.35621,0.33193,0.31131,0.294,0.2796,0.2677,0.25789,0.24983,0.24322,0.23781,0.23338,0.22975,0.22678,0.22435,0.22237,0.22074,0.21941,0.21832,0.21743,0.2167,0.2161,0.21561,0.21521,0.21489,0.21462,0.2144,0.21422,0.21407,0.21395,0.21385,0.21377,0.21371,0.21365,0.21361,0.21357,0.21354,0.21352,0.2135,0.21348,0.21347,0.21346,0.21345
